COOPID,WBNID,CD,ELEM,UN,YEAR,A,S,MO,DA,  JAN ,F,F,MO,DA,  FEB ,F,F,MO,DA,  MAR ,F,F,MO,DA,  APR ,F,F,MO,DA,  MAY ,F,F,MO,DA,  JUN ,F,F,MO,DA,  JUL ,F,F,MO,DA,  AUG ,F,F,MO,DA,  SEP ,F,F,MO,DA,  OCT ,F,F,MO,DA,  NOV ,F,F,MO,DA,  DEC ,F,F,MO,DA,ANNUAL,F,F
040693,99999,04,TPCP,HI,1946,9,9,01,00, 00154, , ,02,99,-99999,M, ,03,00, 00198, , ,04,00, 00022, , ,05,00, 00067, , ,06,00, 00000, , ,07,00, 00003, , ,08,00, 00001, , ,09,00, 00006, , ,10,99,-99999,M, ,11,00, 00344, , ,12,00, 00288, , ,13,99,-99999,M, 
040693,99999,04,TPCP,HI,1947,9,9,01,00, 00068, , ,02,00, 00212, , ,03,00, 00353, , ,04,00, 00027, , ,05,00, 00077, , ,06,00, 00099, , ,07,00, 00000, , ,08,00, 00000, , ,09,00, 00000, , ,10,00, 00454, , ,11,00, 00115, , ,12,00, 00095, , ,13,99,-99999,M, 
040693,99999,04,TPCP,HI,1948,9,9,01,00, 00177, , ,02,00, 00166, , ,03,00, 00489, , ,04,00, 00291, , ,05,00, 00082, , ,06,00, 00003, , ,07,00, 00000, , ,08,00, 00001, , ,09,00, 00002, , ,10,00, 00042, , ,11,00, 00126, , ,12,00, 00492, , ,13,99,-99999,M, 
040693,99999,04,TPCP,HI,1949,9,9,01,00, 00150, , ,02,00, 00310, , ,03,00, 00492, , ,04,00, 00005, , ,05,00, 00061, , ,06,00, 00000, , ,07,00, 00011, , ,08,00, 00006, , ,09,00, 00002, , ,10,00, 00021, , ,11,00, 00169, , ,12,00, 00264, , ,13,99,-99999,M, 
040693,99999,10,TPCP,HI,1950,9,9,01,00, 00873, , ,02,00, 00293, , ,03,00, 00300, , ,04,00, 00101, , ,05,00, 00050, , ,06,00, 00002, , ,07,00, 00001, , ,08,00, 00000, , ,09,00, 00000, , ,10,00, 00328, , ,11,00, 00742, , ,12,00, 00667, , ,13,99,-99999,M, 
040693,99999,04,TPCP,HI,1951,9,9,01,00, 00503, , ,02,00, 00258, , ,03,00, 00153, , ,04,00, 00124, , ,05,00, 00094, , ,06,00, 00002, , ,07,00, 00000, , ,08,00, 00048, , ,09,00, 00006, , ,10,00, 00170, , ,11,00, 00482, , ,12,00, 00958, , ,13,99,-99999,M, 
040693,99999,04,TPCP,HI,1952,9,9,01,00, 00892, , ,02,00, 00247, , ,03,00, 00481, , ,04,00, 00127, , ,05,00, 00025, , ,06,00, 00074, , ,07,00, 00000, , ,08,00, 00000, , ,09,00, 00000,T, ,10,00, 00007, , ,11,00, 00234, , ,12,00, 00928, , ,13,99,-99999,M, 
040693,99999,04,TPCP,HI,1953,9,9,01,00, 00470, , ,02,00, 00000,T, ,03,00, 00280, , ,04,00, 00291, , ,05,00, 00053, , ,06,00, 00034, , ,07,00, 00000, , ,08,00, 00008, , ,09,00, 00000, , ,10,00, 00049, , ,11,00, 00216, , ,12,00, 00071, , ,13,99,-99999,M, 
040693,99999,04,TPCP,HI,1954,9,9,01,00, 00360, , ,02,00, 00292, , ,03,00, 00420, , ,04,00, 00118, , ,05,00, 00013, , ,06,00, 00025, , ,07,00, 00000, , ,08,00, 00027, , ,09,00, 00000, , ,10,00, 00014, , ,11,00, 00298, , ,12,00, 00607, , ,13,99,-99999,M, 
040693,99999,04,TPCP,HI,1955,9,9,01,00, 00546, , ,02,00, 00124, , ,03,00, 00043, , ,04,00, 00184, , ,05,00, 00020, , ,06,00, 00000, , ,07,00, 00000, , ,08,00, 00000, , ,09,00, 00003, , ,10,00, 00005, , ,11,00, 00223, , ,12,00, 01504, , ,13,99,-99999,M, 
040693,99999,04,TPCP,HI,1956,9,9,01,00, 00723, , ,02,00, 00354, , ,03,00, 00003, , ,04,00, 00190, , ,05,00, 00106, , ,06,00, 00000, , ,07,00, 00000, , ,08,00, 00000, , ,09,00, 00025, , ,10,00, 00248, , ,11,00, 00005, , ,12,00, 00026, , ,13,99,-99999,M, 
040693,99999,04,TPCP,HI,1957,9,9,01,00, 00281, , ,02,00, 00406, , ,03,00, 00334, , ,04,00, 00165, , ,05,00, 00356, , ,06,00, 00006, , ,07,00, 00000, , ,08,00, 00000, , ,09,00, 00164, , ,10,00, 00294, , ,11,00, 00052, , ,12,00, 00378, , ,13,99,-99999,M, 
040693,99999,04,TPCP,HI,1958,9,9,01,00, 00548, , ,02,00, 00914, , ,03,00, 00706, , ,04,00, 00606, , ,05,00, 00029, , ,06,00, 00024, , ,07,00, 00000, , ,08,00, 00004, , ,09,00, 00010, , ,10,00, 00031, , ,11,00, 00016, , ,12,00, 00142, , ,13,99,-99999,M, 
